date_collected,plot,sex,weight,species
2013-07-16,2,F,,dm
2013-07-16,7,M,33,dm
2013-07-16,3,M,,dm
2013-07-16,1,M,,dm
2013-07-18,3,M,40,dm
2013-07-18,7,M,48,dm
2013-07-18,4,F,29,dm
2013-07-18,6,F,37,dm
2013-08-19,8,F,52,do
2013-10-17,3,F,33,do
2013-10-17,3,F,50,do
2013-12-10,9,F,40,do
2013-12-10,1,M,45,do
2013-12-11,8,F,41,do
2013-11-12,9,F,117,ds
2013-11-13,11,F,126,ds
2013-11-13,17,M,,ds
2013-11-13,14,F,,ds
2013-11-13,11,F,122,ds
2013-11-13,4,F,107,ds
2013-11-13,4,F,115,ds
2014-01-09,1,M,40,dm
2014-01-09,1,F,36,dm
2014-03-13,1,F,51,dm
2014-03-13,1,F,44,dm
2014-03-13,1,F,146,dm
2014-01-08,2,,,na
2014-01-08,2,M,44,dm
2014-01-08,2,F,7,pf
2014-01-08,2,M,45,dm
2014-01-08,2,,,ot
2014-01-08,2,M,,ds
2014-01-08,2,,,ox
2014-02-18,2,M,,na
2014-02-18,2,F,7,pf
2014-02-18,2,M,52,dm
2014-03-11,3,M,8,pf
2014-04-08,3,F,,na
2014-05-06,3,,,
2014-05-18,3,F,182,na
2014-06-09,3,F,29,ot
2014-07-08,3,F,115,na
2014-07-08,3,M,190,na
2014-01-08,4,F,37,dm
2014-01-08,4,M,,dm
2014-01-08,4,F,48,dm
2014-01-08,4,M,52,do
2014-01-08,4,M,35,ol